station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,1,94Q,273Q,7Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,2,92Q,272Q,15Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,3,90Q,271Q,22Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,4,89Q,270Q,29Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,5,87Q,269Q,35Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,6,85Q,268Q,41Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,7,84Q,267Q,47Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,8,82Q,266Q,53Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,9,81Q,265Q,58Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,10,80Q,265Q,63Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,11,78Q,264Q,68Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,12,77Q,263Q,73Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,13,76Q,263Q,77Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,14,75Q,262Q,81Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,15,74Q,262Q,84Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,16,73Q,261Q,88Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,17,72Q,261Q,92Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,18,72Q,260Q,97Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,19,71Q,260Q,101Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,20,71Q,260Q,105Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,21,70Q,260Q,110Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,22,70Q,260Q,114Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,23,70Q,260Q,118Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,24,70Q,261Q,122Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,25,70Q,261Q,126Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,26,70Q,261Q,130Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,27,71Q,262Q,134Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,28,71Q,263Q,139Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,29,72Q,264Q,143Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,30,73Q,265Q,147Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,1,31,73Q,266Q,152Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,2,1,74Q,267Q,4Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,2,2,75Q,269Q,8Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,2,3,76Q,270Q,12Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,2,4,78Q,272Q,17Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,2,5,79Q,274Q,22Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,2,6,81Q,276Q,27Q
WI HOLY HILL 2 E,USC00473702,43.2422,-88.2889,294.1,2,7,82Q,278Q,32Q
