station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,1,79R,363R,4Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,2,77R,364R,7Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,3,75R,365R,11Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,4,73R,366R,15Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,5,71R,367R,19Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,6,69R,369R,22Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,7,67R,370R,26Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,8,65R,371R,30Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,9,63R,372R,34Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,10,62R,374R,38Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,11,60R,375R,42Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,12,58R,376R,46Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,13,57R,377R,51Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,14,56R,378R,55Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,15,54R,380R,59Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,16,53R,381R,64Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,17,52R,382R,68Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,18,52R,383R,73Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,19,51R,384R,78Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,20,50R,384R,83Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,21,50R,385R,87Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,22,50R,386R,92Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,23,50R,387R,96Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,24,51R,387R,101Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,25,51R,388R,106Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,26,52R,388R,111Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,27,53R,389R,116Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,28,54R,389R,121Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,29,55R,389R,125Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,30,57R,390R,130Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,1,31,59R,390R,135Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,1,61R,390R,6Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,2,63R,390R,11Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,3,65R,391R,17Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,4,67R,391R,23Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,5,70R,391R,29Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,6,73R,391R,34Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,7,76R,391R,40Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,8,79R,391R,46Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,9,82R,391R,52Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,10,85R,391R,58Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,11,89R,392R,64Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,12,92R,392R,70Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,13,95R,392R,75Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,14,99R,393R,81Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,15,103R,393R,86Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,16,106R,394R,91Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,17,110R,394R,96Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,18,114R,395R,102Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,19,117R,396R,107Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,20,121R,397R,112Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,21,124R,398R,117Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,22,128R,399R,123Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,23,131R,400R,128Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,24,135R,401R,134Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,25,138R,402R,139Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,26,141R,404R,145Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,27,144R,406R,151Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,28,147R,407R,157Q
NM ANGEL FIRE 1S,USC00290407,36.3950,-105.2853,2590.,2,29,149R,408R,-9999
