station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,1,253R,457R,7Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,2,252R,456R,15Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,3,251R,456R,22Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,4,250R,455R,32Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,5,250R,455R,42Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,6,249R,455R,52Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,7,248R,454R,62Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,8,247R,454R,72Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,9,247R,454R,85Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,10,246R,454R,99Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,11,246R,454R,113Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,12,245R,454R,128Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,13,245R,454R,142Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,14,244R,455R,157Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,15,244R,455R,172Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,16,244R,455R,187Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,17,244R,456R,203Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,18,244R,456R,218Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,19,244R,457R,234Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,20,244R,457R,250Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,21,244R,458R,266Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,22,245R,459R,283Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,23,245R,460R,301Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,24,245R,461R,318Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,25,246R,462R,335Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,26,247R,463R,352Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,27,247R,464R,369Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,28,248R,465R,387Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,29,249R,467R,404Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,30,250R,468R,422Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,1,31,251R,470R,442Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,1,253R,471R,21Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,2,254R,473R,40Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,3,255R,474R,59Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,4,257R,476R,79Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,5,259R,478R,99Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,6,260R,480R,117Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,7,262R,482R,134Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,8,264R,484R,150Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,9,266R,486R,166Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,10,268R,489R,182Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,11,270R,491R,198Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,12,272R,493R,214Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,13,275R,496R,229Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,14,277R,499R,245Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,15,279R,501R,260Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,16,282R,504R,276Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,17,284R,507R,291Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,18,287R,509R,306Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,19,290R,512R,322Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,20,292R,515R,337Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,21,295R,518R,350Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,22,297R,521R,365Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,23,300R,524R,379Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,24,303R,527R,394Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,25,305R,531R,408Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,26,308R,534R,422Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,27,311R,537R,436Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,28,313R,541R,450Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,29,315R,542R,-9999
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,30,-8888,-8888,-8888
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,2,31,-8888,-8888,-8888
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,3,1,316R,544R,14Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,3,2,318R,547R,27Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,3,3,321R,551R,41Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,3,4,324R,554R,55Q
TN BYRDSTOWN,USC00401310,36.5803,-85.1256,268.2,3,5,326R,558R,69Q
