station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,1,326S,514S,13S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,2,325S,513S,26S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,3,325S,512S,40S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,4,324S,512S,53S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,5,324S,512S,66S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,6,324S,512S,79S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,7,323S,512S,93S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,8,323S,512S,106S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,9,323S,512S,120S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,10,323S,512S,133S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,11,323S,513S,146S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,12,323S,513S,159S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,13,324S,514S,172S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,14,324S,514S,185S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,15,324S,515S,198S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,16,325S,516S,212S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,17,325S,517S,225S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,18,326S,518S,238S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,19,326S,519S,250S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,20,327S,520S,264S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,21,327S,521S,278S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,22,328S,522S,291S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,23,329S,524S,305S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,24,330S,525S,318S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,25,331S,526S,332S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,26,332S,528S,344S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,27,333S,529S,358S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,28,334S,531S,371S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,29,335S,532S,384S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,30,336S,534S,398S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,1,31,337S,536S,412S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,1,338S,538S,14C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,2,339S,539S,27C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,3,340S,541S,41C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,4,342S,543S,54C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,5,343S,545S,68C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,6,344S,547S,81C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,7,346S,549S,94C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,8,347S,551S,107C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,9,348S,553S,121C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,10,350S,555S,134C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,11,351S,557S,148C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,12,353S,559S,161C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,13,355S,561S,176C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,14,356S,563S,190C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,15,358S,565S,204C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,16,359S,567S,219C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,17,361S,570S,234C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,18,363S,572S,249C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,19,365S,574S,264C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,20,366S,576S,279C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,21,368S,579S,294C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,22,370S,581S,308C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,23,372S,584S,323C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,24,374S,586S,338C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,25,376S,588S,353C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,26,378S,591S,367C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,27,380S,593S,381C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,28,382S,596S,396C
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,29,383S,597S,-9999
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,30,-8888,-8888,-8888
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,2,31,-8888,-8888,-8888
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,3,1,384S,598S,15S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,3,2,386S,601S,29S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,3,3,388S,603S,44S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,3,4,390S,606S,59S
SC LITTLE MTN,USC00385200,34.1942,-81.4150,216.7,3,5,392S,609S,73S
