station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,1,72C,370C,1S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,2,73C,371C,2S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,3,74C,372C,4S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,4,75C,373C,5S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,5,76C,374C,6S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,6,77C,375C,7S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,7,78C,376C,9S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,8,79C,376C,10S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,9,80C,377C,11S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,10,81C,378C,12S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,11,82C,378C,13S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,12,83C,379C,15S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,13,84C,379C,16S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,14,85C,380C,17S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,15,86C,380C,18S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,16,87C,380C,19S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,17,88C,380C,20S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,18,88C,381C,21S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,19,89C,381C,23S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,20,90C,381C,24S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,21,91C,381C,25S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,22,92C,381C,27S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,23,92C,382C,28S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,24,93C,382C,29S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,25,94C,382C,31S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,26,95C,382C,32S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,27,95C,383C,33S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,28,96C,383C,35S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,29,97C,383C,36S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,30,98C,384C,38S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,1,31,99C,385C,39S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,1,100C,385C,2S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,2,101C,386C,3S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,3,102C,387C,5S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,4,103C,389C,7S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,5,104C,390C,9S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,6,105C,391C,10S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,7,107C,393C,12S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,8,108C,395C,14S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,9,110C,396C,16S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,10,111C,398C,17S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,11,113C,401C,19S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,12,115C,403C,21S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,13,117C,406C,23S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,14,119C,408C,25S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,15,121C,411C,27S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,16,123C,414C,29S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,17,126C,417C,31S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,18,128C,420C,33S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,19,130C,424C,35S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,20,133C,427C,37S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,21,136C,431C,40S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,22,139C,434C,42S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,23,141C,438C,44S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,24,144C,442C,47S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,25,147C,446C,49S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,26,151C,450C,52S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,27,154C,454C,55S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,28,157C,458C,58S
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,29,158C,460C,-9999
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,30,-8888,-8888,-8888
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,2,31,-8888,-8888,-8888
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,3,1,160C,462C,3R
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,3,2,163C,466C,6R
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,3,3,167C,470C,9R
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,3,4,170C,474C,12R
SD ARDMORE  1 NW,USC00390236,43.0300,-103.6600,1079.,3,5,173C,478C,15R
