station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,1,195S,336S,9R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,2,194S,335S,18R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,3,193S,334S,27R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,4,191S,333S,36R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,5,190S,333S,45R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,6,189S,332S,54R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,7,188S,331S,63R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,8,187S,331S,73R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,9,186S,330S,82R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,10,185S,329S,91R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,11,185S,329S,100R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,12,184S,329S,108R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,13,184S,328S,116R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,14,183S,328S,125R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,15,183S,328S,133R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,16,183S,327S,141R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,17,183S,327S,148R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,18,183S,327S,156R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,19,183S,327S,164R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,20,183S,327S,171R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,21,183S,327S,178R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,22,183S,328S,185R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,23,183S,328S,192R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,24,184S,328S,199R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,25,184S,329S,206R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,26,185S,329S,213R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,27,185S,330S,220R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,28,186S,331S,227R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,29,186S,331S,234R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,30,187S,332S,240R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,1,31,188S,333S,247R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,2,1,189S,334S,7R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,2,2,190S,336S,14R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,2,3,191S,337S,20R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,2,4,192S,338S,27R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,2,5,193S,340S,33R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,2,6,194S,341S,39R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,2,7,195S,343S,45R
MI HOLLAND WTP,USC00203858,42.7989,-86.2050,188.1,2,8,196S,345S,51R
