station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,1,166C,357C,5C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,2,167C,358C,9C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,3,168C,359C,14C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,4,168C,360C,19C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,5,169C,360C,23C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,6,169C,361C,28C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,7,170C,362C,32C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,8,170C,362C,36C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,9,171C,362C,40C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,10,171C,363C,44C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,11,171C,363C,49C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,12,171C,363C,53C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,13,171C,363C,57C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,14,171C,363C,61C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,15,171C,362C,65C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,16,171C,362C,69C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,17,171C,362C,73C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,18,171C,362C,77C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,19,170C,361C,82C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,20,170C,361C,86C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,21,170C,360C,90C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,22,169C,360C,94C
SD LEAD,USC00394834,44.3533,-103.7714,1630.,1,23,169C,359C,98C
